BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.394,0.38,0.68,0.78,11.412156308546415,-2.5886038598367236,5.761935455659718
0.397,0.3,0.74,0.76,12.100714108753532,-2.1578802007878344,5.691621973534807
0.4,0.36,0.64,0.78,11.045875500722623,-2.410348143433805,6.02595753635263
0.403,0.32,0.64,0.72,11.032324759976966,-3.112,5.149961598523824
0.406,0.3,0.5,0.66,12.187783539691736,-2.2723918699289274,4.686467578627774
0.409,0.18,0.52,0.54,11.103348064040588,-3.884,3.7336671744646286
0.412,0.16,0.56,0.62,13.57966604925988,-3.8080000000000003,4.546003451330008
0.415,0.3,0.7,0.74,10.542804360110487,-1.712,5.612117368228188
0.418,0.24,0.6,0.74,12.473033213392359,-2.636,5.724457312349468
0.421,0.28,0.58,0.62,11.680042611981433,-3.88,4.350978051162692
0.424,0.36,0.64,0.74,11.851286156284651,-3.244,5.886941344136842
0.427,0.28,0.54,0.64,9.772202759556427,-3.563913581205283,4.722131474801077
0.43,0.3,0.66,0.72,11.94228299873384,-3.704,5.100120624420008
0.433,0.24,0.5,0.58,13.578970631229442,-3.7880000000000003,4.531948566853144
0.436,0.34,0.66,0.72,11.030170951168783,-3.648,5.483032324602585
0.439,0.16,0.58,0.68,10.830895976182545,-3.396,5.133365391983677
0.442,0.3,0.62,0.78,11.061602534153371,-2.136,6.326892083727348
0.445,0.2,0.7,0.76,13.669702001661532,-3.2960000000000003,6.512884609128784
0.448,0.36,0.7,0.74,13.947611527302065,-3.54,6.165554264052471
0.451,0.36,0.64,0.7,11.00268464776562,-3.068,5.64699336420359
0.454,0.32,0.62,0.68,11.40530616428244,-3.408,5.660416235899268
0.457,0.12,0.58,0.72,11.868526680735405,-2.3000000000000003,5.908078165437262
0.46,0.32,0.64,0.7,12.552596408032777,-3.736,5.425844638504209
0.463,0.34,0.64,0.74,12.596082423868262,-3.032,6.09519840391519
0.466,0.24,0.64,0.74,12.028869780629785,-3.92,6.201819902073819
0.469,0.2,0.68,0.78,13.282523232198656,-1.796,6.758893954599327
0.472,0.12,0.58,0.68,12.312921584735525,-2.744,5.780290673050685
0.475,0.12,0.6,0.64,11.997579135778553,-3.936,5.34175539803015
0.478,0.18,0.64,0.7,14.513108076437634,-3.352,6.277913763478543
0.481,0.22,0.58,0.64,14.370078903915763,-2.608,5.854517439250421
0.484,0.12,0.58,0.68,12.55271145319926,-3.716,5.608330856056667
0.487,0.26,0.62,0.72,12.833095809301977,-3.952,6.2456202123983635
0.49,0.26,0.54,0.64,12.610022185396426,-3.056,5.486159240199006
0.493,0.22,0.52,0.58,12.46526619392048,-3.584,4.794106318012878
0.496,0.26,0.5,0.56,12.709175046573767,-3.592,4.639530821044454
0.499,0.14,0.5,0.62,11.600290230513737,-3.596,5.379405400861064
0.502,0.26,0.5,0.58,12.306388317499593,-3.364,5.227032362085557
0.505,0.2,0.5,0.62,13.417444486434228,-3.544,5.64368459003915
0.508,0.2,0.6,0.68,13.150344710401527,-3.0371553751829774,6.33269167410133
0.511,0.22,0.6,0.72,14.476014754800731,-3.884,6.864450455702759
0.514,0.18,0.56,0.72,15.178689273066407,-3.7760000000000002,6.580721033456471
0.517,0.16,0.58,0.64,12.345158220873769,-3.48,6.060872849603231
0.52,0.2,0.48,0.66,12.741538320323613,-3.488,5.675580892111259
0.523,0.24,0.62,0.68,13.956598263878186,-3.072,6.598883531299662
0.526,0.14,0.52,0.7,15.240387593598072,-3.172,6.97742051718086
0.529,0.06,0.44,0.56,13.008176876054105,-3.884,4.6427456991355385
0.532,0.34,0.6,0.72,14.334414849230843,-1.9080000000000001,7.044621706015705
0.535,0.18,0.58,0.68,13.968367827237174,-3.592,6.797191816307285
0.538,0.2,0.56,0.7,14.492986766076129,-3.848,7.089668744108845
0.541,0.24,0.56,0.64,14.653124434145893,-2.515414834670009,6.202700262422326
0.544,0.16,0.42,0.48,13.715437925086723,-3.7680000000000002,4.415146396142462
0.547,0.16,0.48,0.62,15.36805669996556,-3.472,6.4016804105487894
0.55,0.2,0.56,0.68,16.85509943858815,-3.8360000000000003,6.8065984352723286
0.553,0.14,0.54,0.66,13.450560364454681,-2.4,6.679320325557079
0.556,0.18,0.54,0.68,13.79906578145216,-3.144,7.288012802710181
0.559,0.12,0.52,0.64,13.562420654362548,-3.2840000000000003,6.637492596634696
0.562,0.18,0.54,0.68,14.57717781438065,-3.24,7.061121685571328
0.565,0.18,0.5,0.62,16.14988143396782,-3.4305288148351845,7.094145826272636
0.568,0.16,0.64,0.76,14.73636061924246,-2.3467913161742224,8.236018143103648
0.571,0.2,0.48,0.64,14.682865612126236,-3.704,7.106935825741171
0.574,0.18,0.52,0.58,15.061253485185821,-3.064,5.683480896376766
0.577,0.22,0.5,0.6,14.50234269409611,-3.548,6.344418913072468
0.58,0.26,0.56,0.72,14.761273692092425,-3.734024113892843,8.109343161756824
0.583,0.16,0.48,0.6,15.683420175127253,-2.2720000000000002,6.767433877028687
0.586,0.16,0.58,0.64,13.68249123159281,-2.7669145598604366,7.563024070861918
0.589,0.12,0.54,0.58,14.268594407634604,-3.952,6.447912559035881
0.592,0.1,0.42,0.58,15.045518355961232,-3.46,5.9483602767375645
0.595,0.2,0.54,0.62,20.798549699933737,-3.864,7.1195093607628515
0.598,0.08,0.44,0.54,15.227223808617646,-3.94,5.713029471071994
0.601,0.2,0.42,0.58,15.798212289354352,-3.608,6.678466731956018
0.604,0.18,0.44,0.56,15.375802096519745,-3.24,6.53255365539889
0.607,0.16,0.42,0.62,15.146184072584616,-2.928,7.2905003994339985
0.61,0.22,0.44,0.54,14.703747541113867,-3.876,6.457543103954247
0.613,0.18,0.42,0.58,18.76865041549996,-3.631013508746079,6.762677955846825
0.616,0.16,0.5,0.7,19.027445483581154,-3.876,8.39906652229091
0.619,0.18,0.56,0.64,14.872689412794854,-3.8280000000000003,7.667008084671311
