REPEAT_COUNT,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
950.0,0.37157894736842106,0.6105263157894737,0.6368421052631579,0.9999986458072025,0.0022832077892643854,0.7961338082395076
1000.0,0.389,0.662,0.697,0.9999988415107673,8.667076653146033e-06,0.8335143939021972
1050.0,0.3819047619047619,0.6266666666666667,0.6657142857142857,0.9999996874443693,0.0007365268048857843,0.8058445094053488
1100.0,0.36272727272727273,0.6309090909090909,0.6645454545454546,0.9999965223085611,4.36228160347607e-05,0.8098660930880319
1150.0,0.34608695652173915,0.5973913043478261,0.6452173913043479,0.9999989598345406,0.001171831662060252,0.8050563686884028
1200.0,0.36,0.6241666666666666,0.6541666666666667,0.9999996321252687,0.0006065723488799524,0.8074864524309772
1250.0,0.3784,0.6352,0.6664,0.999999729786137,0.00014412616906922526,0.8092794575718087
1300.0,0.3730769230769231,0.6415384615384615,0.6692307692307692,0.9999991453852982,0.0005869598952867872,0.812706044638434
1350.0,0.3348148148148148,0.6162962962962963,0.6444444444444445,0.9999996052403477,0.0008562367905716739,0.8048721693214367
1400.0,0.35,0.6192857142857143,0.6514285714285715,0.9999996911870478,0.0010474469620479487,0.8052358734477124
1450.0,0.36689655172413793,0.6248275862068966,0.6613793103448276,0.9999975806359557,0.0003721944977765901,0.8054456970045567
1500.0,0.354,0.6293333333333333,0.672,0.9999996714797263,0.0008893153255634667,0.8186910245645275
1550.0,0.37483870967741933,0.6412903225806451,0.6825806451612904,0.9999982282979261,0.0026164398556137725,0.8234216595848561
1600.0,0.363125,0.64125,0.6725,0.9999994905516518,3.612802740426968e-05,0.8178582374945698
1650.0,0.35333333333333333,0.6224242424242424,0.6521212121212121,0.9999979915510065,0.00047831775843631963,0.8118914388802164
1700.0,0.3658823529411765,0.6335294117647059,0.6641176470588235,0.9999985213875342,0.003358972142044392,0.8155422912787149
1750.0,0.38,0.6434285714285715,0.6782857142857143,0.9999996795176754,0.00010360489199101597,0.8232696883187862
1800.0,0.3527777777777778,0.6161111111111112,0.6538888888888889,0.999997916271299,0.0009223130213337205,0.806108430409026
1850.0,0.3783783783783784,0.6286486486486487,0.6702702702702703,0.9999996008105755,0.0017763215837369728,0.8232952477452352
1900.0,0.36947368421052634,0.6342105263157894,0.6642105263157895,0.999998732266391,0.00023775019346761184,0.8126531394525094
1950.0,0.3528205128205128,0.6292307692307693,0.662051282051282,0.9999984045590172,0.0011639152732838554,0.8133578679530211
2000.0,0.345,0.619,0.6585,0.9999994649819048,0.0005303035501357245,0.809921845653313
2050.0,0.3751219512195122,0.6360975609756098,0.6697560975609756,0.999999509230722,0.0010144826470538382,0.810554092339852
2100.0,0.37238095238095237,0.6495238095238095,0.6871428571428572,0.9999992023821761,0.0010648717696091214,0.8249282601710403
2150.0,0.3623255813953488,0.6441860465116279,0.6818604651162791,0.9999977633727258,0.00033447491734728274,0.8193669957683307
2200.0,0.37363636363636366,0.63,0.6559090909090909,0.9999976328271272,0.0004190237884503789,0.8107573575344889
2250.0,0.36177777777777775,0.6377777777777778,0.6617777777777778,0.9999998855888623,0.001259460592275219,0.8086068358055423
2300.0,0.38173913043478264,0.6504347826086957,0.6795652173913044,0.9999995032869137,0.00028670118842044623,0.8235324642505171
2350.0,0.365531914893617,0.6319148936170212,0.6655319148936171,0.9999997873833469,0.003928326284453387,0.8103313294865546
2400.0,0.36333333333333334,0.63125,0.6645833333333333,0.9999992476155358,0.0006042836096823434,0.8114881131619527
2450.0,0.37183673469387757,0.6469387755102041,0.6804081632653062,0.9999999818559293,0.0004812332597577962,0.8193320718300334
2500.0,0.3852,0.642,0.6768,0.9999996537650578,0.0016393918646800953,0.8206026581162817
2550.0,0.36705882352941177,0.6266666666666667,0.6549019607843137,0.9999998002046409,0.00034609324701373456,0.8088103697973776
2600.0,0.37615384615384617,0.6265384615384615,0.6603846153846153,0.9999984812608974,0.0002651923121633759,0.8050251752468431
2650.0,0.38943396226415095,0.6464150943396226,0.68,0.9999992853154964,0.0006668786763935897,0.8220179456932131
2700.0,0.36592592592592593,0.6344444444444445,0.6633333333333333,0.9999988051700717,0.0006075873901947304,0.81089085778737
2750.0,0.37672727272727274,0.6338181818181818,0.6705454545454546,0.9999989187104829,0.0005861655744721084,0.8179524660077285
2800.0,0.36357142857142855,0.6367857142857143,0.6685714285714286,0.9999983514187994,0.0011677280603321627,0.8119393463858157
2850.0,0.36666666666666664,0.647719298245614,0.6782456140350878,0.9999993231366656,0.0022554737831688154,0.8224279000410548
2900.0,0.3617241379310345,0.6258620689655172,0.653448275862069,0.999999985487628,0.0005872170032852342,0.8011273384516567
2950.0,0.3657627118644068,0.6342372881355932,0.6684745762711864,0.999999757281966,0.0008659495665253036,0.814060831916201
3000.0,0.364,0.615,0.6486666666666666,0.9999999850147917,0.0013196750980676297,0.8055117540292391
3050.0,0.3626229508196721,0.6262295081967213,0.6593442622950819,0.9999997653138673,0.001371558830390307,0.8139923348874667
3100.0,0.3670967741935484,0.6283870967741936,0.66,0.9999998754217642,0.0015745022276729692,0.8083264110893568
3150.0,0.35365079365079366,0.6187301587301587,0.6584126984126984,0.9999999972950926,7.569043118238472e-05,0.8143225842526347
3200.0,0.3821875,0.6428125,0.674375,0.9999998432421432,1.5122218316676594e-05,0.8185503520399667
3250.0,0.35107692307692306,0.636,0.6692307692307692,0.9999998178802495,2.6485698718881068e-05,0.8166619474641018
3300.0,0.3748484848484849,0.6333333333333333,0.666060606060606,0.9999996880496725,0.0004104789096270878,0.8161525626519135
3350.0,0.36507462686567166,0.6301492537313432,0.6698507462686567,0.9999996183081493,0.00016329325358210856,0.8147406982350179
3400.0,0.35911764705882354,0.6226470588235294,0.6544117647058824,0.9999998502235191,0.002640946800187227,0.8042889558525754
3450.0,0.348695652173913,0.6223188405797101,0.652463768115942,0.999999465393885,0.0002174320130887697,0.8088693701078123
